district,Name,Bio,Raising Denver's minimum wage to $15?,"Strengthening renters’ rights (i.e. eviction protections, lease requirements)?",Increasing accountability of Denver Police officers?,"A carbon tax on utility bills to fund investments in energy efficiency, renewable energy, & green jobs in Denver?",website,facebook,photo
1,Rafael Espinoza,"Architect, platform calls for increased constituent involvement",Yes,Yes,Yes,Yes,http://www.rafaelforcouncil.com/,https://www.facebook.com/rafaelforcouncil,/images/counselors/1/Rafael Espinoza.jpg
1,Susan Shepherd,"Current councilwoman, former labor organizer, vocal environmentalist",Yes,Yes,Yes,Yes,http://shepherd4nwdenver.com/,https://www.facebook.com/councilwomansusanshepherd/info?tab=page_info,/images/counselors/1/Susan Shepherd.jpg
2,Fran Coleman,"Former state legislator, worked primarily on public & consumer safety issues; small business owner, served on Denver Corrections Board & Welfare Reform Board",Yes,Yes,Yes,Yes,http://www.francolemancc2.com/,https://www.facebook.com/franncoleman2,/images/counselors/2/Fran Coleman.jpg
2,Kevin Flynn,"Public information manager for RTD's public-private partnership on the light rail, former City Hall reporter for Rocky Mountain News",No response,No response,No response,No response,http://www.flynnforcouncil.com/,https://www.facebook.com/pages/Kevin-Flynn-for-Denver-City-Council-2/484998731645700,/images/counselors/2/Kevin Flynn.jpg
2,John E. Kidd Jr.,"CEO of insurance & financial services business, member of the Colorado Association of Commerce & Industry, board member and treasurer of Grant Ranch Master Homeowner's Assoc.",No,No,No,No,http://www.john4denver.com,https://www.facebook.com/john4denver,/images/counselors/2/John Kidd.jpg
2,Jeanne Labuda,"Former state legislator, served on the Finance committee & the State, Veterans, & Military Affairs committee; represented SW Denver on the Planning Board, President of Harvey Park Improvement Assoc.",Yes,Yes,Yes,Yes,http://www.labudafordenver.co/,https://www.facebook.com/representativejeanne.labuda?ref=eyJzaWQiOiIwLjI5NTc0MDYwNTA5OTEyNjciLCJxcyI6IkpUVkNKVEl5U21WaGJtNWxKVEl3VEdGaWRXUmhKVEl5SlRWRSIsImd2IjoiOTRhZDBhNTUxNmQ3YThkN2E4YWVmYjJmODNhYWYyZThlNDI0YjI1NiJ9,/images/counselors/2/Jeanne Labuda.jpg
2,Danny Lopez,"Supervisor in Denver Public Works, two time mayoral candidate, youth sports coach",Yes,Yes,Yes,No,,,/images/counselors/2/Danny Lopez.jpg
3,Paul Lopez,"Current councilman, running unopposed; former community organizer, successfully introduced amendments to increase independent oversight of the Denver Police Department",No response,No response,No response,No response,http://www.denvergov.org/district3/DenverCouncilDistrict3/tabid/444186/Default.aspx,https://www.facebook.com/pages/Paul-Lopez-for-Denver/254590088055323,/images/counselors/3/Paul Lopez.jpg
4,Kendra Alexis Valis Black,"Former administrator of a CU Denver academic program, co-chaired Denver Public Schools 2012 Bond Oversight Committee",No,Yes,Yes,No,http://kendraforcouncil.org/,https://www.facebook.com/Kendra4Council,/images/counselors/4/Kendra Black.png
4,Carolina Klein,"Colorado native, does not have a website",Yes,Yes,Yes,Maybe,,,/images/counselors/4/Carolina Klein.jpg
